        1 file(s) copied. 

n =

   273


p =

   133

Initial regression, p=14, R^2=0.58627
v=15, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=26, ecr=3.0796
v=16, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=26, ecr=1.8567
v=17, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=28, ecr=6.3761
v=18, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=29, ecr=3.699
v=19, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=29, ecr=4.1147
v=20, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=29, ecr=2.9515
v=21, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=29, ecr=9.0037
v=22, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=74, ecr=4.9718
v=23, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=75, ecr=3.3008
v=24, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=76, ecr=2.8759
v=25, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=76, ecr=1.5995
v=1, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=76, ecr=0.98517
v=2, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=77, ecr=1.5976
v=3, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=77, ecr=5.7544
v=4, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=78, ecr=10.7399
v=5, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=763, ecr=5.4369
v=6, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=763, ecr=2.7642
v=7, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=20, ecr=8.5541
v=8, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=41, ecr=4.8436
v=9, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=45, ecr=2.9701
v=10, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=46, ecr=1.4194
v=11, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=46, ecr=5.3266
v=12, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=52, ecr=3.0438
v=13, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=52, ecr=2.5205
v=14, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=53, ecr=7.9692
searching 4: restart search based on top 5 results, p=14
v=15, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=584, ecr=4.0405
v=16, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=584, ecr=2.0604
v=17, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=585, ecr=1.0624
v=18, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=585, ecr=0.55947
v=19, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=585, ecr=3.2627
v=20, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=20, ecr=9.7505
v=21, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=102, ecr=5.3633
v=22, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=20, ecr=3.1055
v=23, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=21, ecr=3.5731
v=24, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=22, ecr=6.8782
v=25, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=32, ecr=2.561
